1,-2.9844,1.9213,9.2129
2,-1.7777,1.2845,10.118
3,-1.1935,1.251,10.262
4,-1.3036,1.5143,9.7683
5,-0.7865,1.385,8.4276
6,-0.29808,0.97803,7.9918
7,-0.36033,0.82959,9.165
8,-1.9597,1.3372,7.7237
9,-3.1711,1.7968,7.92
10,-3.5159,1.6867,10.597
11,-3.037,1.1696,12.076
12,-1.6005,0.44652,11.89
13,-1.3659,0.93972,10.051
14,-1.2318,1.4138,8.8633
15,-1.6197,1.6724,9.232
16,-1.7777,1.4377,9.9359
17,-0.59017,0.62369,10.463
18,0.55905,0.13527,10.635
19,-0.48004,0.71946,10.108
20,-1.6245,1.8304,9.4188
21,-2.1608,2.3954,9.0261
22,-2.405,2.156,9.007
23,-1.0834,1.9357,9.074
24,-0.4944,1.7298,10.013
25,-1.1408,1.7059,10.434
26,-1.5239,1.5,9.8019
27,-2.0937,1.5718,10.089
28,-1.4377,1.8352,9.505
29,-0.59496,1.7346,8.4324
30,-0.19752,1.3707,8.8202
31,-0.72903,1.1648,10.597
32,-1.2653,0.98282,10.855
33,-1.3372,1.3515,10.463
34,-1.5479,2.3858,9.5912
35,-1.5143,2.8838,8.8059
36,-1.1456,2.3236,7.9392
37,-1.0355,1.9644,9.2512
38,-1.0642,2.1033,10.285
39,-0.97803,2.1991,10.171
40,-0.36033,2.3571,9.6822
41,-0.15921,2.654,9.0549
42,-0.058658,2.6348,8.8873
43,-0.049081,2.5534,9.6103
44,-1.0115,2.8982,10.487
45,-2.1272,3.0323,10.731
46,-2.0602,2.9748,10.415
47,-0.89663,2.903,9.8976
48,0.19034,2.9652,9.2895
49,-0.21668,3.4728,8.4898
50,-0.81523,4.0282,8.2744
51,-0.010774,3.4919,8.0158
52,0.73143,3.2334,8.1355
53,0.45849,3.6883,8.4372
54,0.2478,4.1432,8.9735
55,0.13767,4.2437,9.9503
56,-0.044293,3.8798,9.6103
57,-0.32681,3.9325,9.2943
58,0.18555,3.7745,10.013
59,1.3587,3.4488,10.127
60,1.6987,3.1855,10.429
61,1.2534,2.1081,11.684
62,2.0865,0.56623,12.345
63,3.3651,0.005986,13.489
64,2.8287,-0.051475,13.048
65,1.2198,0.93972,10.635
66,0.14245,2.6827,8.0014
67,0.77931,3.1089,7.9679
68,1.2198,1.7442,10.53
69,0.43455,0.1257,14.265
70,-1.4664,0.30287,13.422
71,-4.215,1.7154,8.7484
72,-4.0378,2.8503,6.6032
73,-1.2701,2.4529,6.5697
74,-0.26456,1.5431,6.9863
75,-0.38906,1.2797,5.5498
76,0.18076,1.3467,3.4381
77,1.9094,1.6197,3.3519
78,3.9636,1.4281,7.1204
79,7.7369,0.60932,11.353
80,8.9196,1.7394,7.5705
81,6.6307,0.85832,6.3446
82,3.8535,1.5048,9.9647
83,-0.50877,1.5143,13.623
84,-0.44652,1.9549,9.9551
85,2.824,2.5486,7.1156
86,4.95,2.8264,9.2991
